average_rate_per_night,bedrooms_count,city,date_of_listing,description,latitude,longitude,title,url
$119 ,1,Austin,10-Aug,"Just minutes from Austin's main attractions, entire 400 sq ft attached apartment in desirable Tarrytown (1940s) neighborhood with living room, bedroom and bath. We are licensed by the City of Austin to operate a Short Term Rental. NOTE: 15% HOTEL OCCUPANCY TAX INCLUDED IN PRICE!",30.30038194,-97.77885789,Sunny Central Austin Apartment,https://www.airbnb.com/rooms/46929?location=Colorado%20River%2C%20TX
$225 ,4,Breckenridge,16-Apr,"The Bedroll Bunkhouse Ranch is nestled in on 30 acres of beautiful landscape. Very private setting. Come out with friends and family and enjoy our horse shoe pit, star gazzing, listen to the coyotes sing, or just sit and read a book.",32.79998006,-98.84432664,The stars at night are amazing,https://www.airbnb.com/rooms/18584603?location=Cisco%2C%20TX
$88 ,1,Houston,16-Aug,Come relax on the water in our beautiful beach house style river home. You'll love our shiplap walls but the view is even better!,29.82627834,-95.07823934,Monroe Manor,https://www.airbnb.com/rooms/19273801?location=Channelview%2C%20TX
$85 ,1,Spicewood,16-Dec,"My place is close to \nSXSW venues\nPoodies Roadhouse\nPace Bend Park\nPedernales River\nMarble Falls\nTexas Hill Country\nApis Restaurant. \n\nYou’ll love my place because of the relaxing location, the pool, Canyon to hike in, Pedernales River to play in or launch your boat, the private park on the river, the people, the ambiance, the outdoors space, and the neighborhood. My place is good for couples, solo adventurers, and business travelers.\n\nDog and cats on property.",30.3877095,-98.09081262,Amethyst Room at Canyon Ranch,https://www.airbnb.com/rooms/17132740?location=Briarcliff%2C%20TX
$105 ,1,Austin,12-Jan,Modern remodeled Spartan on a large shaded lot.,30.27752338,-97.71919076,Chic 1953 Spartanette Guesthouse,https://www.airbnb.com/rooms/321636?location=Colorado%20River%2C%20TX
$499 ,7,Fort Worth,17-Apr,"Sleeps 20 guests. Clean, cozy, laid back and quiet place. Plenty of space with property caretaker available at all times. Excellent for a big family group. Your safety and comfort is our main goal. Ample parking space for guests. This home is Wheel Chair accessible with 2 handicapped showers.",32.64994648,-97.4059862,Casa de Alexis Guesthome,https://www.airbnb.com/rooms/18366731?location=Cleburne%2C%20TX
$25 ,1,Dallas,16-Apr,"LOW COST MOTEL STYLE PRIVATE ROOMS WITH DOOR LOCK &amp; KEY !\nNO NEED TO SCHEDULE YOUR ARRIVAL AS WE MAY NOT BE HOME TO GREET YOU !\nCOME IN AND OUT ANYTIME AFTER 1PM ON YOUR DAY OF ARRIVAL !!! \n\n24/7 KEYLESS ENTRY DOOR CODE, WIFI INFO, AND EVERYTHING YOU NEED TO KNOW ABOUT YOUR STAY WILL BE DETAILED IN AN EMAIL FROM AIRBNB ONCE RESERVATION CONFIRMED !\n\nPlenty of free parking, 2 full Bathrooms\n100% Hassle free and independent stay !\n\nLOCATION: BICKERS ST. &amp; N WESTMORELAND RD. DALLAS 75212",32.78663646,-96.87466869,"2. Available now, Private w-Key, TV-FREE Movies",https://www.airbnb.com/rooms/13568922?location=Carrollton%2C%20TX
$35 ,1,Killeen,16-Aug,My place is close to the airport and the city center.,31.08831396,-97.77755412,FEMALE GUEST ONLY,https://www.airbnb.com/rooms/14501505?location=Belton%2C%20TX
$370 ,2,New Braunfels,13-May,"What a location! The Comal Hideway is nestled right on the Comal River, directly across from Schlitterbahn! \n\nThis fully-furnished unit is a home away from home! Take advantage of the community grills along the river, or relax inside with a spectacular view of the Comal! \n\nMake your next vacation one to remember at the Comal Hideaway!",29.70471393,-98.12010313,Comal Hideaway! ACROSS FROM SCHLITTERBAHN!,https://www.airbnb.com/rooms/18547397?location=Comal%20River%2C%20TX
$500 ,3,Abilene,16-Jul,"Perfect home for rest and relaxation. With close to 4k sq. ft. You'll feel right at home with big couches, big kitchen, and big comfy beds! Everything's bigger in Texas! You'll have full access to our outdoor patio with fire pit, outdoor shower, and two water features. The space has all been completely renovated and is ready for you to enjoy!",32.43616081,-99.77400979,Texas style elegance and class!,https://www.airbnb.com/rooms/18838247?location=Cisco%2C%20TX
$35 ,1,Houston,17-Jan,"Clean &amp; Cozy brick home with comfortable room for a guest to rent per night, large backyard with 2 big Trees for shade.Direct TV of over 500 channels to watch. Washer/Dryer, bed sheets/pillow cases",29.70389701,-95.66395341,Comfortable Room available for you!,https://www.airbnb.com/rooms/16929402?location=Cinco%20Ranch%2C%20TX
$85 ,3,Abilene,15-Dec,"Stylishly updated 3 bedroom house, conveniently located across the street from the Taylor County Expo Center, Shotwell Stadium, The Abilene ZOO, and Lyle Land &amp; Cattle and only minutes from the Abilene Airport.",32.43781002,-99.69983992,Summoner Sanctuary--Abilene Home Away From Home,https://www.airbnb.com/rooms/19286138?location=Cisco%2C%20TX
$50 ,1,Austin,17-Jun,"Apartment finished to a high standard, for people who value prestige. The apartment is furnished, ready to move in.",30.23294081,-97.58937812,Lovely private room,https://www.airbnb.com/rooms/19209856?location=Cedar%20Creek%2C%20TX
$117 ,2,Fort Worth,14-Oct,"This house will have you feeling like you're staying in the country when you're a 20-minute walk or 5-minute ride to Downtown! A bikeshare station on Samuels Ave. connects you to points of downtown including West 7th, museum district, magnolia, and the trinity trails. A train track near the house provides some ambient noise adding to a unique atmosphere. We loved while living in this house for over 8 years, renovating it for an open, connected, and modernized concept.",32.76650721,-97.32873671,1920's Bungalow / Craftsman near Downtown,https://www.airbnb.com/rooms/7255032?location=Colleyville%2C%20TX
$244 ,2,Marble Falls,14-Jan,"Two Bedroom: King in master, two full beds in second bedroom, sleeper sofa in living area. Maximum occupancy is 8.\n\n**See “Description” Below for ALL details**",30.55111868,-98.28646131,"Marble Falls, TX, 2-bedroom #1",https://www.airbnb.com/rooms/14359371?location=Burnet%2C%20TX
$850 ,3,Pasadena,15-Aug,"Completely renovated single family home in Pasadena, Super Bowl ready, 21 miles and 25 minutes from NRG stadium. Full access allowed. Large master suite with a king size bed and 2 additional bedrooms.",29.64732251,-95.13905355,"25 Miles to Super Bowl, pool and spa, full access",https://www.airbnb.com/rooms/16678532?location=Beach%20City%2C%20TX
$52 ,1,College Station,16-Feb,"My place is great because of how close it is to Kyle Field, the George Bush Library, Northgate and great places to eat! My apartment's tidiness, accommodations and great price will be a couple of the many reasons any person/couple will love it!",30.5976927,-96.33721105,VACATION RENTAL FOR JUNE AND JULY!,https://www.airbnb.com/rooms/13334742?location=College%20Station%2C%20TX
$450 ,5,San Antonio,16-Sep,Morning Star has an elegance of \,29.51605277,-98.43504461,Welcome to MORNING STAR,https://www.airbnb.com/rooms/17714313?location=Cibolo%2C%20TX
$300 ,4,Allen,15-May,"My home is in a very family oriented neighborhood with access to major highways (2 miles to 75 and 4 miles to 121); 45 minutes to DFW and Dallas Love airports and 45 minutes to downtown Dallas. Enjoy an amazing range of shopping within 10-20 minutes - Premium Outlet Mall, Stonebriar Mall and Watters Creek. Great for couples, solo adventurers, business travelers and families (with kids). NO PARTIES!",33.09533497,-96.70009475,Beautiful 4 Br/4 Ba Home Near Major Highways,https://www.airbnb.com/rooms/9793383?location=Celina%2C%20TX
$207 ,2,Bandera,14-May,"2 bedroom house. Sleeps 6 total. 2 Twin Sleeper Futons in living room. First bedroom has a King bed, Walk in closet, and an electric fire place. Second bedroom has a Queen size bed. Full Kitchen with Stove, Refrigeratior/Icemaker, Microwave, Toaster, Coffeepot, Utensils, Plates, Cookware. Shower. Linens and Towels provided. Dish TV. Window AC/Heat. Downtown Bandera, TX. No Pets. No Smoking Inside Accommodation. Ferral Cats live on property and are fed.",29.717039,-99.08212066,Hackberry House,https://www.airbnb.com/rooms/14471311?location=Center%20Point%2C%20TX
$100 ,2,Humble,16-Jan,"My home, built in 2016, is 5 min from the airport in a quiet neighborhood. You will have the entire second story to yourself, with 2BR, couch, 70 in tv, full bed, inflatable queen mattress and bathroom. It is 15 min away from downtown and 30 min away from NRG. Minutes away from restaurants, mall, grocery store and 24 hr emergency room. Other amenities include a gym w/ treadmill and erg machine. We have a crate-trained German shepherd which will be limited to the 1st floor master and backyard.",30.01937977,-95.30818795,Cozy Second floor to yourself minutes from IAH,https://www.airbnb.com/rooms/16925131?location=Cleveland%2C%20TX
$105 ,2,San Antonio,17-Jun,"A cozy apartment located in downtown San Antonio. This space is within walking distance to the Convention Center, Hemisfair Park, and the Alamodome. It is also located near the Southtown District, which features an array of restaurants, bars, and shops. Enjoy the close public park that has a baseball field, large playground, and picnic tables. We offer guests FREE pick up and drop-off from the San Antonio International Airport. There is also ample street parking, or use bike-share rack.",29.41542956,-98.48159614,Downtown Apartment located near Convention Center,https://www.airbnb.com/rooms/19065840?location=Alamo%20Heights%2C%20TX
$81 ,3,Humble,17-Jan,"Entire 3 bedroom/2 full bath home in a quiet neighborhood. Third bedroom area furnished for office space for work/communication. Large driveway with private parking for 6 vehicles or RV.\n5 Miles to IAH, family activities, some great restaurants. Blocks from US 59, NE Medical Center/Kingwood Medical Center. Great for couples, solo adventurers, business travelers, and families.\n**Mondays and Thursdays are blocked for bookings - NOTE: these nights, I can often make exceptions for extended stays.**",30.00094259,-95.25816793,Entire home 5 Miles From IAH Blocks from Hwy 59/69,https://www.airbnb.com/rooms/17006337?location=Cleveland%2C%20TX
$40 ,1,Fort Worth,17-Apr,"Warm, Cozy house located in North of Fort Worth with family-friendly and safe environment close to shopping and restaurants. Conveniently located in Alliance/North Fort Worth, 5 minutes drive to I35, Alliance Town Center and 15 minutes drive to Fort Worth downtown.\n\nLooking for long term single student/professional renters and no pets/smoking allowed.",32.91753279,-97.33690001,"Warm, Cozy Private Room in North Fort Worth",https://www.airbnb.com/rooms/18359567?location=Colleyville%2C%20TX
$120 ,3,Katy,17-Apr,"Bienvenidos! This gorgeous one-story home offers 3 bedrooms, 2 bathrooms and a 2-car garage. The elegant plan features a study room equipped with a sofa bed, gorgeous kitchen and great living space with TV (netflix included). It is tailored for all. We are located in Katy, TX, in close proximity to Katy Mills Shopping Mall, Houston Premium Outlets, Typhoon Water Park, energy corridor, and new hospital area. We sincerely hope you will have a wonderful and profitable stay in our dear town of Katy.",29.75028228,-95.79191395,Lovely Katy Home (3BR/2B) - Fantastic Location,https://www.airbnb.com/rooms/19387030?location=Cinco%20Ranch%2C%20TX
